month,currency,rate
2021-01,CHF,0.8371002846
2021-01,DKK,0.1213400798
2021-01,EUR,0.9029345372
2021-01,HKD,0.0956022945
2021-01,JPY,0.0071576838
2021-01,SEK,0.0885739593
2021-01,USD,0.7409053864
2021-02,CHF,0.8235875474
2021-02,DKK,0.1193844538
2021-02,EUR,0.8880206021
2021-02,HKD,0.0946969697
2021-02,JPY,0.0070831563
2021-02,SEK,0.0878734622
2021-02,USD,0.7335680751
2021-03,CHF,0.7934618742
2021-03,DKK,0.1161642563
2021-03,EUR,0.8637816360
2021-03,HKD,0.0918273646
2021-03,JPY,0.0067732322
2021-03,SEK,0.0860585198
2021-03,USD,0.7116931179
2021-04,CHF,0.7791803023
2021-04,DKK,0.1159527840
2021-04,EUR,0.8622176237
2021-04,HKD,0.0938244732
2021-04,JPY,0.0066979236
2021-04,SEK,0.0848176421
2021-04,USD,0.7288098535
2021-05,CHF,0.7824113919
2021-05,DKK,0.1161251364
2021-05,EUR,0.8635578584
2021-05,HKD,0.0925069380
2021-05,JPY,0.0066374618
2021-05,SEK,0.0853242321
2021-05,USD,0.7178750897
2021-06,CHF,0.7849293564
2021-06,DKK,0.1161345767
2021-06,EUR,0.8635578584
2021-06,HKD,0.0910746812
2021-06,JPY,0.0065099928
2021-06,SEK,0.0848176421
2021-06,USD,0.7069136152
2021-07,CHF,0.7807620237
2021-07,DKK,0.1150192082
2021-07,EUR,0.8552856654
2021-07,HKD,0.0922509225
2021-07,JPY,0.0064612005
2021-07,SEK,0.0844594595
2021-07,USD,0.7158708569
2021-08,CHF,0.7957981856
2021-08,DKK,0.1158923129
2021-08,EUR,0.8620689655
2021-08,HKD,0.0940733772
2021-08,JPY,0.0066282230
2021-08,SEK,0.0841042893
2021-08,USD,0.7313149042
2021-09,CHF,0.7920164739
2021-09,DKK,0.1144754164
2021-09,EUR,0.8512811782
2021-09,HKD,0.0933706816
2021-09,JPY,0.0066146316
2021-09,SEK,0.0834028357
2021-09,USD,0.7269026677
2021-10,CHF,0.7940919558
2021-10,DKK,0.1156350097
2021-10,EUR,0.8598452279
2021-10,HKD,0.0941619586
2021-10,JPY,0.0066849388
2021-10,SEK,0.0846740051
2021-10,USD,0.7328154771
2021-11,CHF,0.7870297497
2021-11,DKK,0.1133118796
2021-11,EUR,0.8430992328
2021-11,HKD,0.0931098696
2021-11,JPY,0.0063323202
2021-11,SEK,0.0843170320
2021-11,USD,0.7238508867
2021-12,CHF,0.7989773090
2021-12,DKK,0.1129394757
2021-12,EUR,0.8398421097
2021-12,HKD,0.0954198473
2021-12,JPY,0.0064842433
2021-12,SEK,0.0838222967
2021-12,USD,0.7426661716
2022-01,CHF,0.8169267217
2022-01,DKK,0.1144937658
2022-01,EUR,0.8514261388
2022-01,HKD,0.0969856849
2022-01,JPY,0.0066472523
2022-01,SEK,0.0829249281
2022-01,USD,0.7567158532
2022-02,CHF,0.8007687380
2022-02,DKK,0.1118468146
2022-02,EUR,0.8324315325
2022-02,HKD,0.0941743733
2022-02,JPY,0.0064170890
2022-02,SEK,0.0805263200
2022-02,USD,0.7337295473
2022-03,CHF,0.7980209081
2022-03,DKK,0.1124897353
2022-03,EUR,0.8368901163
2022-03,HKD,0.0944064196
2022-03,JPY,0.0063798824
2022-03,SEK,0.0791615212
2022-03,USD,0.7364312541
2022-04,CHF,0.8119519324
2022-04,DKK,0.1119357041
2022-04,EUR,0.8327088017
2022-04,HKD,0.0967286375
2022-04,JPY,0.0062532204
2022-04,SEK,0.0800448251
2022-04,USD,0.7568876779
2022-05,CHF,0.8098477486
2022-05,DKK,0.1119344512
2022-05,EUR,0.8327781479
2022-05,HKD,0.0977087303
2022-05,JPY,0.0060020371
2022-05,SEK,0.0812195934
2022-05,USD,0.7664009810
2022-06,CHF,0.8076892012
2022-06,DKK,0.1135357297
2022-06,EUR,0.8448086508
2022-06,HKD,0.1021544371
2022-06,JPY,0.0062034586
2022-06,SEK,0.0807350115
2022-06,USD,0.8018603159
2022-07,CHF,0.8470269355
2022-07,DKK,0.1157380616
2022-07,EUR,0.8608815427
2022-07,HKD,0.1034918138
2022-07,JPY,0.0059801996
2022-07,SEK,0.0807871904
2022-07,USD,0.8124136810
2022-08,CHF,0.8590327291
2022-08,DKK,0.1143641354
2022-08,EUR,0.8512811782
2022-08,HKD,0.1061886760
2022-08,JPY,0.0060367153
2022-08,SEK,0.0814790069
2022-08,USD,0.8336112037
2022-09,CHF,0.8762705924
2022-09,DKK,0.1136583204
2022-09,EUR,0.8453085376
2022-09,HKD,0.1078074128
2022-09,JPY,0.0061854280
2022-09,SEK,0.0799251900
2022-09,USD,0.8459521191
2022-10,CHF,0.9144947417
2022-10,DKK,0.1172291713
2022-10,EUR,0.8717635777
2022-10,HKD,0.1124214455
2022-10,JPY,0.0061231588
2022-10,SEK,0.0801044562
2022-10,USD,0.8825346395
2022-11,CHF,0.8847991506
2022-11,DKK,0.1168920735
2022-11,EUR,0.8695652174
2022-11,HKD,0.1131439304
2022-11,JPY,0.0059320742
2022-11,SEK,0.0794419994
2022-11,USD,0.8881783462
2022-12,CHF,0.8794301293
2022-12,DKK,0.1156229766
2022-12,EUR,0.8598452279
2022-12,HKD,0.1060006996
2022-12,JPY,0.0059310855
2022-12,SEK,0.0791803253
2022-12,USD,0.8288437630
2023-01,CHF,0.8726764988
2023-01,DKK,0.1153775152
2023-01,EUR,0.8582217645
2023-01,HKD,0.1037021674
2023-01,JPY,0.0059779009
2023-01,SEK,0.0790145308
2023-01,USD,0.8060615831
2023-02,CHF,0.8837825895
2023-02,DKK,0.1174922455
2023-02,EUR,0.8740494712
2023-02,HKD,0.1031768141
2023-02,JPY,0.0062853235
2023-02,SEK,0.0786949234
2023-02,USD,0.8069722402
2023-03,CHF,0.9001710325
2023-03,DKK,0.1193687779
2023-03,EUR,0.8895214375
2023-03,HKD,0.1061537318
2023-03,JPY,0.0062041783
2023-03,SEK,0.0798588096
2023-03,USD,0.8331944676
2023-04,CHF,0.8851907586
2023-04,DKK,0.1184777973
2023-04,EUR,0.8823010411
2023-04,HKD,0.1041948861
2023-04,JPY,0.0061623521
2023-04,SEK,0.0790026703
2023-04,USD,0.8175946366
2023-05,CHF,0.8939746111
2023-05,DKK,0.1181167466
2023-05,EUR,0.8802042074
2023-05,HKD,0.1023227259
2023-05,JPY,0.0059667188
2023-05,SEK,0.0777453839
2023-05,USD,0.8032128514
2023-06,CHF,0.8939746111
2023-06,DKK,0.1168442700
2023-06,EUR,0.8703977718
2023-06,HKD,0.1032897795
2023-06,JPY,0.0058179855
2023-06,SEK,0.0754346924
2023-06,USD,0.8086689309
2023-07,CHF,0.8775008775
2023-07,DKK,0.1155161261
2023-07,EUR,0.8604371020
2023-07,HKD,0.1003431737
2023-07,JPY,0.0055297623
2023-07,SEK,0.0733998826
2023-07,USD,0.7854225573
2023-08,CHF,0.9027715085
2023-08,DKK,0.1165514750
2023-08,EUR,0.8684324794
2023-08,HKD,0.0993769068
2023-08,JPY,0.0055586128
2023-08,SEK,0.0755520969
2023-08,USD,0.7760360081
2023-09,CHF,0.8986340762
2023-09,DKK,0.1148435257
2023-09,EUR,0.8559445348
